trade_date,open,high,low,close,vol,turnover_rate,volume_ratio,pe,pb,ps,total_mv,dv_ratio,trade_date,adj_factor,open_hfq,open_qfq,close_hfq,close_qfq,high_hfq,high_qfq,low_hfq,low_qfq,pre_close_hfq,pre_close_qfq,macd_dif,macd_dea,macd,kdj_k,kdj_d,kdj_j,rsi_6,rsi_12,rsi_24,boll_upper,boll_mid,boll_lower,cci
2022-02-21,4.8,4.82,4.77,4.82,1594033.65,0.0591,0.88,5.4379,0.6098,1.9462,171787815.9169,5.5187,20220221,1.971,9.4608,4.23113,9.50022,4.24876,9.50022,4.24876,9.40167,4.20468,9.48051,4.23994,0.029,0.028,0.003,50.162,55.069,40.349,61.241,59.552,57.866,4.312,4.194,4.075,33.816
2022-02-22,4.8,4.81,4.76,4.78,1708437.55,0.0634,1.07,5.3928,0.6047,1.9301,170362190.8885,5.5649,20220222,1.971,9.4608,4.23113,9.42138,4.2135,9.48051,4.23994,9.38196,4.19587,9.50022,4.24876,0.026,0.027,-0.002,40.584,50.241,21.271,46.966,52.72,54.241,4.313,4.198,4.082,-3.494
2022-02-23,4.78,4.78,4.74,4.77,2358015.79,0.0875,1.52,5.3815,0.6035,1.9261,170005784.6315,5.5765,20220223,1.971,9.42138,4.2135,9.40167,4.20468,9.42138,4.2135,9.34254,4.17824,9.42138,4.2135,0.023,0.026,-0.007,33.723,44.735,11.699,43.897,51.121,53.368,4.314,4.201,4.088,-53.061
2022-02-24,4.75,4.77,4.69,4.7,2566266.28,0.0952,1.5,5.3026,0.5946,1.8978,167510940.8318,5.6596,20220224,1.971,9.36225,4.18705,9.2637,4.14298,9.40167,4.20468,9.24399,4.13416,9.40167,4.20468,0.016,0.024,-0.018,24.443,37.971,-2.614,28.339,41.506,47.758,4.314,4.199,4.083,-151.961
2022-02-25,4.7,4.72,4.66,4.67,2506018.2,0.0929,1.28,5.2687,0.5908,1.8857,166441722.0606,5.6959,20220225,1.971,9.2637,4.14298,9.20457,4.11653,9.30312,4.16061,9.18486,4.10772,9.2637,4.14298,0.007,0.021,-0.027,18.379,31.44,-7.745,23.97,38.151,45.614,4.316,4.197,4.078,-205.442
2022-02-28,4.67,4.68,4.64,4.66,1949269.63,0.0723,0.91,5.2574,0.5895,1.8816,166085315.8035,5.7082,20220228,1.971,9.20457,4.11653,9.18486,4.10772,9.22428,4.12535,9.14544,4.09009,9.20457,4.11653,0.0,0.017,-0.033,15.956,26.279,-4.689,22.578,37.062,44.912,4.318,4.195,4.073,-188.764
2022-03-01,4.67,4.7,4.65,4.68,1942545.62,0.072,0.88,5.28,0.5921,1.8897,166798128.3177,5.6838,20220301,1.971,9.20457,4.11653,9.22428,4.12535,9.2637,4.14298,9.16515,4.0989,9.18486,4.10772,-0.004,0.013,-0.034,18.045,23.534,7.066,32.05,40.753,46.625,4.318,4.196,4.074,-126.79
2022-03-02,4.67,4.71,4.66,4.7,1520514.4,0.0564,0.67,5.3026,0.5946,1.8978,167510940.8318,5.6596,20220302,1.971,9.20457,4.11653,9.2637,4.14298,9.28341,4.15179,9.18486,4.10772,9.22428,4.12535,-0.006,0.009,-0.03,23.141,23.403,22.617,40.75,44.315,48.303,4.317,4.196,4.075,-88.05
2022-03-03,4.69,4.76,4.69,4.74,2273311.98,0.0843,1.08,5.3477,0.5997,1.9139,168936565.8602,5.6118,20220303,1.971,9.24399,4.13416,9.34254,4.17824,9.38196,4.19587,9.24399,4.13416,9.2637,4.14298,-0.005,0.006,-0.022,33.946,26.917,48.003,54.676,50.773,51.484,4.316,4.199,4.082,-24.779
2022-03-04,4.73,4.73,4.67,4.72,1624987.74,0.0603,0.8,5.3251,0.5971,1.9059,168223753.346,5.6356,20220304,1.971,9.32283,4.16942,9.30312,4.16061,9.32283,4.16942,9.20457,4.11653,9.34254,4.17824,-0.005,0.004,-0.018,38.317,30.717,53.516,47.918,47.752,49.883,4.312,4.202,4.091,-49.554
2022-03-07,4.7,4.73,4.63,4.65,3529409.72,0.1309,1.9,5.2461,0.5883,1.8776,165728909.5464,5.7204,20220307,1.971,9.2637,4.14298,9.16515,4.0989,9.32283,4.16942,9.12573,4.08127,9.30312,4.16061,-0.01,0.001,-0.022,29.989,30.474,29.018,31.544,38.913,44.793,4.317,4.198,4.079,-90.49
2022-03-08,4.65,4.66,4.6,4.62,2811335.58,0.1043,1.29,5.2123,0.5845,1.8655,164659690.7751,5.7576,20220308,1.971,9.16515,4.0989,9.10602,4.07246,9.18486,4.10772,9.0666,4.05483,9.16515,4.0989,-0.016,-0.002,-0.027,23.914,28.288,15.167,26.829,35.813,42.838,4.313,4.187,4.062,-131.209
2022-03-09,4.61,4.64,4.5,4.56,4620584.76,0.1714,1.96,5.1446,0.5769,1.8413,162521253.2326,5.8333,20220309,1.971,9.08631,4.06364,8.98776,4.01957,9.14544,4.09009,8.8695,3.96668,9.10602,4.07246,-0.025,-0.007,-0.036,23.635,26.737,17.432,19.746,30.511,39.262,4.315,4.175,4.036,-177.473
2022-03-10,4.59,4.61,4.55,4.56,2306743.82,0.0856,0.78,5.1446,0.5769,1.8413,162521253.2326,5.8333,20220310,1.971,9.04689,4.04602,8.98776,4.01957,9.08631,4.06364,8.96805,4.01076,8.98776,4.01957,-0.031,-0.012,-0.039,23.449,25.641,19.065,19.746,30.511,39.262,4.308,4.162,4.016,-146.547
2022-03-11,4.55,4.61,4.52,4.61,2707875.31,0.1004,0.91,5.201,0.5832,1.8614,164303284.518,5.7701,20220311,1.971,8.96805,4.01076,9.08631,4.06364,9.08631,4.06364,8.90892,3.98431,8.98776,4.01957,-0.033,-0.016,-0.033,29.735,27.006,35.194,39.055,39.408,43.539,4.289,4.15,4.012,-119.713
2022-03-14,4.58,4.64,4.56,4.59,2290872.59,0.085,0.72,5.1785,0.5807,1.8534,163590472.0039,5.7952,20220314,1.971,9.02718,4.0372,9.04689,4.04602,9.14544,4.09009,8.98776,4.01957,9.08631,4.06364,-0.035,-0.02,-0.03,31.362,28.458,37.17,35.011,37.323,42.296,4.282,4.141,4.001,-82.846
